name,course,hobby,comment
きゅーち,生活科学部<br>人間福祉学科,マイメロ,サンリオを好これ
スキマー,理学部数学科,数学、麻雀,三回で森ノ宮送りにならないように、フル単目指す
しゅーけ。,理学部数学科,麻雀、バイト,じゅんちゃんさんしょくいーぺーこー。
くま,理学部数物科学科(インカレ),お絵描き 音楽(ボカロ) YouTube,我が家に世界一可愛い犬がいます。犬派です。
