name,course,hobby,comment
いぽた,理学部数学科,弾幕シューティング,諸行無常にゃ!
うめぼし,理学部数学科,作編曲、カービィ,刺身の上に乗っているタンポポはポン酢でいただく
ガッキー,理学部数学科,数学,^_^
ひとねぎ,経済学部<br>経済学科,スマブラ、東方、VRChat、ポケポケ,対戦よろしくお願いします
O型,理学部物理学科,ゲーム,AYBABTU
