name,course,hobby,comment
きゅーち,生活科学部<br>人間福祉学科,マイメロ,サンリオを好これ
スキマー,理学部数学科,数学、麻雀,三回で森ノ宮送りにならないように、フル単目指す
しゅーけ。,理学部数学科,麻雀、バイト,じゅんちゃんさんしょくいーぺーこー。
くま,理学部数物科学科(インカレ),お絵描き 音楽(ボカロ) YouTube,我が家に世界一可愛い犬がいます。犬派です。
魔王,文学部,旅行,この国を征服する
たいち,理学部数学科,読書（文学）、ピアノ、ゲーム,数学専攻の教授になるのが夢です！
とら,商学部,音ゲー、音楽を聞く事、勉強,ラスボス感のある曲が好きです
